,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
95255,0375757201,The Blithedale Romance (Modern Library Classics),Nathaniel Hawthorne,2001,Modern Library
95319,0486284921,The Merchant Of Venice (Dover Thrift Editions),William Shakespeare,1995,Dover Publications
95320,0486290972,Othello (Dover Thrift Editions),William Shakespeare,1996,Dover Publications
95334,057540289X,High Fidelity Uk,Nick Hornby,1995,Trafalgar Square
95419,0764220179,A Gown Of Spanish Lace,Janette Oke,1997,Baker Pub Group
95582,075730138X,Chicken Soup For The Soul : Living Your Dreams,Jack Canfield,2003,Health Communications
95686,0671423436,Infinity Clue Hb P (The Hardy Boys Mystery Stories),Franklin W. Dixon,1981,Aladdin
95702,0553293567,Visions Of Fantasy: Tales From The Masters,Isaac Asimov,1991,Starfire
95968,0449215830,The Union Club Mysteries,Isaac Asimov,1987,Fawcett Books
96093,1551661683,Passion Flower,Diana Palmer,1996,Mira
96137,0345417968,The 158-Pound Marriage (Ballantine Reader'S Circle),John Irving,1997,Ballantine Books
96309,0460876279,As You Like It (Everyman Paperback Classics),William Shakespeare,1997,Everymans Library
96536,0140869441,The Breathing Method,Stephen King,2000,Penguin Audiobooks
96617,0373832443,Dreams Part 1 Amd 2  (Jane Krentz Reissue) (Dreams),Jayne Ann Krentz,1992,Harlequin
96781,0701167173,The Vampire Armand (Vampire Chronicles),Anne Rice,1998,Chatto and Windus
96792,0866982906,"Beowulf And The Critics (Medieval &Amp; Renaissance Texts &Amp; Studies, Vol. 248)",J. R. R. Tolkien,2002,Arizona Center for Medieval and Renaissance S
96804,0140187383,The Pearl (Twentieth-Century Classics),John Steinbeck,1994,Penguin Putnam
96805,0822000598,Shakespeare'S Minor Plays (Cliffs Notes),William Shakespeare,1991,John Wiley &amp; Sons Inc
96941,3453054083,Macbest. Roman. ( Fantasy).,Terry Pratchett,1992,Heyne
97006,0373483201,Long Tall Texans,Diana Palmer,1994,Silhouette
97010,0373484984,Calhoun Women: Lilah &Amp; Suzanna (Calhoun Women Series),Nora Roberts,2001,Silhouette
97096,0764225561,When Tomorrow Comes,Janette Oke,2001,Bethany House Publishers
97111,3453189426,"Rincewind, Der Zauberer.",Terry Pratchett,2001,Heyne
97222,0890845042,Great Expectations (Literature For Christian Schools Ser.),Charles Dickens,1989,Bob Jones University Press
97391,0373287046,Corner Of Heaven (Harlequin Historical No 704),Fern Michaels,1991,Harlequin
97472,3453025237,Der Talisman. Roman.,Stephen King,2000,Heyne
97578,1558747257,Chicken Soup For The Golden Soul : Heartwarming Stories For People 60 And Over (Chicken Soup For The Soul),Jack Canfield,2000,Health Communications
97616,0812585623,Stitch In Snow,Anne McCaffrey,1986,Tor Books
97638,0439568404,Night Of The Living Dummy  (Goosebumps Series),R. L. Stine,2003,Scholastic Paperbacks
97652,0345321065,The Garfield Treasury,Jim Davis,1982,Ballantine Books
97719,0312197667,The Tempest: A Case Study In Critical Controversy (Case Studies In Critical Controversy),William Shakespeare,2000,Bedford Books
97747,1583754334,A Little Spoonful Of Chicken Soup For The Soul (Chicken Soup For The Soul),Jack Canfield,1999,Garborg's Heart 'n Home
97780,0743471717,"The Ship Who Saved The Worlds (Mccaffrey, Anne)",Anne McCaffrey,2003,Baen
97843,155166321X,Dance To The Piper,Nora Roberts,1998,Mira
97863,0380000369,Rings Of Ice,Piers Anthony,1987,Harper Mass Market Paperbacks (Mm)
97986,0590739085,"Still More Tales To Give You Goosebumps: Ten Spooky Stories (Goosebumps Special Edition, No 4)",R. L. Stine,1984,Scholastic
98065,3453127323,Die Kammer,John Grisham,1998,Wilhelm Heyne Verlag GmbH &amp; Co KG
98121,0373078110,"Hidden Star  (The Stars Of Mithra) (Harlequin Intimate Moments, 811)",Nora Roberts,1997,Silhouette
98132,0385475136,"The Rainmaker, Limited Edition",John Grisham,1995,Doubleday Books
98170,3442241944,Die Feuer Von Darkover 01. Der Untergang Von Neskaya.,Marion Zimmer Bradley,2002,Goldmann
98172,3426609770,Die Vier Monde. Ein Darkover- Roman.,Marion Zimmer Bradley,2001,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co."
98199,0812574974,Man From Mundania (Xanth),Piers Anthony,2000,Tor Fantasy
98209,0689121024,Stories Of Eva Luna,Isabel Allende,1991,Scribner
98239,0743482808,Romeo And Juliet (Folger Shakespeare Library),William Shakespeare,2004,Washington Square Press
98280,0361086237,Noddy Meets Father Christmas (The Noddy Library),Enid Blyton,1990,Macdonald &amp; Co
98487,0140187510,To A God Unknown (Twentieth Century Classics Series),John Steinbeck,1995,Penguin Books
98532,0711710457,Oscar Wilde Quotations,Oscar Wilde,2000,Jarrold Publishing
98716,1552042197,Sea Gypsy: Escape To Destiny (Mira (Audio)),Fern Michaels,2000,DH Audio
98819,3404131037,Das Licht Von Atlantis. Roman.,Marion Zimmer Bradley,1987,LÃ?Â¼bbe
98845,3502512205,Das Geheimnis Der Schnallenschuhe. Ein Hercule Poirot Krimi.,Agatha Christie,1989,Scherz
98857,0452152984,The Sleeping Beauty Novels: The Claiming Of Sleeping Beauty/Beauty'S Punishment/Beauty'S Release (Boxed Set),Anne Rice,1992,Penguin USA
98893,0553196480,Cider House Rules,John Irving,1991,Bantam Books
98945,1568656203,The Johnny Maxwell Trilogy,Terry Pratchett,1997,SFBC Science Fiction
98964,0140315977,The B. F. G.: Dahl (Puffin Books),Roald Dahl,1995,Penguin USA
99012,0425067785,Cards On The Table,Agatha Christie,1984,Berkley Publishing Group
99019,0312112254,Adventures Of Huckleberry Finn: A Case Study In Critical Controversy (Case Studies In Contemporary Criticism),Mark Twain,1995,Bedford Books
99026,0425067947,Murder On The Links,Agatha Christie,2004,Berkley Publishing Group
99049,0886775183,Isaac Asimov Presents The Great Sf Stories 25,Isaac Asimov,1992,New Amer Library
99277,0373482671,"Heather'S Song (Silhouette Classics, No 8)",Diana Palmer,1993,Silhouette
99446,155802123X,Copp For Hire,Don Pendleton,1988,Lynx Books
99593,0451456424,If Wishes Were Horses,Anne McCaffrey,1998,Roc
99732,037303086X,"Imperfect Love (Harlequin Romance, No 3086)",Fern Michaels,1990,Harlequin
99764,0877208131,A Tale Of Two Cities (Amsco Literature Program - N 380 Als),Charles Dickens,1971,Amsco School Pubns Inc
99787,3442416310,Schweinsgalopp. Ein Roman Von Der Bizarren Scheibenwelt.,Terry Pratchett,1998,Goldmann
99797,0373089716,"King'S Ransom (Silhoutte Romance, No 971)",Diana Palmer,1993,Silhouette
99831,0671730495,"Stranger In The Shadows (Nancy Drew 103) : Stranger In The Shadows (Nancy Drew Mystery Stories, No 103)",Carolyn Keene,1991,Aladdin
99833,0671730525,"Case Of The Artful Crime (Nancy Drew 106) : Case Of The Artful Crime (Nancy Drew Mystery Stories, No 106)",Carolyn Keene,1992,Aladdin
99952,0141301139,Fantastic Mr. Fox (Puffin Novels),Roald Dahl,1998,Puffin Books
99987,1551666413,Roomful Of Roses (Silhouette Romance #301),Diana Palmer,2000,Mira
100050,3499205823,Sophiechen Und Der Riese. ( Ab 8 J.).,Roald Dahl,1997,Rowohlt Tb.
100073,0373099916,"Maggie'S Dad (1,000 Book Celebration) (Silhouette Special Edition, No 991)",Diana Palmer,1995,Silhouette
100196,0373291051,"Once A Hero (Historical, 505)",Fern Michaels,2000,Harlequin
100372,3150098718,Stolz Und Vorurteil,Jane Austen,1977,"Reclam, Ditzingen"
100377,0140480161,Plays (Penguin Plays),Oscar Wilde,1954,Penguin USA
100383,2266115499,Non Coupable,John Grisham,2001,Pocket
100482,0140187456,The Long Valley (Twentieth Century Classics Series),John Steinbeck,1995,Penguin Books
100632,0415011035,Antony And Cleopatra (3Rd Series),William Shakespeare,1995,Arden Shakespeare
100810,0824802888,Mark Twain'S Letters From Hawaii,Mark Twain,1975,University of Hawaii Press
100818,0747538581,Happy Days: Don'T Be Silly Mr Twiddle (Happy Days!),Enid Blyton,1998,Bloomsbury Publishing Plc
100844,0553111698,The Dragon And The Pearl,Barbara Cartland,1977,Bantam Books
100872,2702423248,A.B.C. Contre Poirot,Agatha Christie,1993,Librairie des Champs-ElysÃ?Â©es
100875,2253062065,Les Contes D'Eva Luna,Isabel Allende,1992,LGF
100958,0060151293,The Measure Of The Universe: Our Foremost Science Writer Looks At The World Large And Small,Isaac Asimov,1983,Harpercollins
100994,0448089556,The Witchmaster'S Key (Hardy Boys Mystery Stories),Franklin W. Dixon,1976,Grosset &amp; Dunlap
101007,0345331591,Nerilka'S Story (Dragonriders Of Pern),Anne McCaffrey,1986,Bookthrift Co
101033,0671730851,Making Waves (Nancy Drew Files 81) : Making Waves (Nancy Drew Files),Carolyn Keene,1993,Simon Pulse
101038,0671645854,Smile And Say Murder (Nancy Drew Files (Paperback)),Carolyn Keene,1986,Pocket Books
101040,0671730797,"A Talent For Murder (Nancy Drew Files 75) : A Talent For Murder (Nancy Drew Files, No 75)",Carolyn Keene,1992,Simon Pulse
101059,2020067935,Un Mariage Poids Moyen,John Irving,1984,Seuil
101078,0671423606,"The Captive Witness (Keene, Carolyn. Nancy Drew Mystery Stories, 64.)",Carolyn Keene,1981,Wanderer Books
101091,2020416417,Une Veuve De Papier / A Paper Widow,John Irving,2000,Threshold
101093,0590259954,Jump Rope Rhymes Pack,Ann M. Martin,1995,Scholastic
101094,059044834X,"Karen'S Plane Trip (Baby-Sitters Little Sister Super Special, 2)",Ann M. Martin,1991,Scholastic
101095,0590417835,"Karen'S Witch (Baby-Sitters Little Sister, 1)",Ann M. Martin,1988,Scholastic Paperbacks
101096,0590417819,"Karen'S Roller Skates (Baby-Sitters Little Sister, 2)",Ann M. Martin,1988,Scholastic Paperbacks
101100,059043652X,"Karen'S Sleepover (Baby-Sitters Little Sister, 9)",Ann M. Martin,1991,Scholastic
101102,0590436511,"Karen'S Grandmothers (Baby-Sitters Little Sister, 10)",Ann M. Martin,1990,Scholastic
101104,0590436503,"Karens Prize (Baby-Sitters Little Sister, 11)",Ann M. Martin,1999,Scholastic
101105,2266033824,La Captive Aux Cheveux De Feu,Marion Zimmer Bradley,1990,Presses Pocket
101109,0590437186,Stacey'S Mistake (Baby-Sitters Club (Paperback)),Ann M. Martin,1988,Scholastic Paperbacks
101567,0192818481,Life On The Mississippi (World'S Classics),Mark Twain,1990,Oxford University Press
101587,3453115783,Tom Clancy'S Op- Center. Spiegelbild.,Tom Clancy,1996,Heyne
101655,0373451539,"Call It Destiny (Men Made In America Series) #3 (Men Made In America, No 3)",Jayne Ann Krentz,1993,Silhouette
101657,0373611501,"Death Load (Executioner , No 150)",Don Pendleton,1991,Gold Eagle
101664,0373033524,"Invitation To Love (Sealed With A Kiss) (Harlequin Romance, No 3352)",Fern Michaels,1995,Harlequin
101777,0061004588,Copp On Ice,Don Pendleton,1992,Harper Mass Market Paperbacks (Mm)
101805,0451126246,"Intergalactic Empires (Isaac Asimov'S Wonderful World Of Science Fiction Series, No. 1)",Isaac Asimov,1983,New Amer Library
101829,0373610491,Doomsday Disciples (Gold Eagle Book),Don Pendleton,1982,Gold Eagle
102098,0671496123,Measure For Measure,William Shakespeare,1983,Washington Square Press
102154,0671728547,Sweet Fortune : Sweet Fortune,Jayne Ann Krentz,1991,Pocket
102162,0373482973,Golden Lasso (Best Of The Best) (Silhouette Romances),Fern Michaels,1994,Silhouette
102280,0451518594,Anthony And Cleopatra,William Shakespeare,1978,Signet Book
102475,0373034784,Fake Fiance (Harlequin Romance No 3478),Fern Michaels,1997,Harlequin
102542,0373290691,"Merry Widows--Sarah (The Merry Widows) (Harlequin Historical, No. 469)",Fern Michaels,1999,Harlequin
102558,0373484143,"Weddings In White, Three Complete Novels: Unlikely Lover/The Princess Bride/Callaghan'S Bride",Diana Palmer,2000,Silhouette
102589,0804107904,Lacy,Diana Palmer,1993,Ivy Books
102607,0671040510,This Calder Sky (This Calder Sky),Janet Dailey,1999,Pocket
102734,0373765371,Man In Control (Silhouette Desire),Diana Palmer,2003,Silhouette
102736,0373201125,Long Tall Texans Ii (By Request) (Harlequin By Request),Diana Palmer,1995,Harlequin
102823,0394824725,"Charlie And The Great Glass Elevator: The Further Adventures Of Charlie Bucket And Willy Wonka, Chocolate-Maker Extraordinary",Roald Dahl,1972,Alfred A. Knopf
102898,0340024623,Five Run Away Together,Enid Blyton,1967,Hodder &amp; Stoughton General Division
102911,0440434491,Hand Me Down Kid,Francine Pascal,1982,Yearling Books
102934,0821759833,Vegas Sunrise (Vegas Trilogy),Fern Michaels,1998,Zebra Books
102935,0340041447,Five On A Hike Together,Enid Blyton,1978,Hodder &amp; Stoughton General Division
102949,0441007201,The Tower And The Hive (Rowan),Anne McCaffrey,2000,Ace Books
102961,0684843420,Sanditon: Jane Austen'S Last Novel Completed,Jane Austen,1998,Touchstone
102984,0671878700,In The Rift Glenraven Ii,Marion Zimmer Bradley,1998,Baen
102991,0671877666,The Ship Avenged (Hardcover) (Brainship),Anne McCaffrey,1997,Baen
102996,0515116866,Someone To Love (A New Camfield Novel Of Love ; 144),Barbara Cartland,1995,Jove Books
103005,0590523767,"Karen'S New Holiday (Baby-Sitters Little Sister, 112)",Ann M. Martin,1999,Scholastic
103021,3502508801,Ein Diplomatischer Zwischenfall.,Agatha Christie,1999,Scherz
103263,0764222449,A Bride For Donnigan (Women Of The West (Paper)),Janette Oke,1999,Baker Book House Co
103282,0812511778,Orc'S Opal,Piers Anthony,1991,Tor Books (Mm)
103302,0373510322,"Gabriel'S Angel #32 (Nora Roberts Language Of Love) (Language Of Love, No 32)",Nora Roberts,1993,Silhouette
103311,5353004329,"Garri Potter I Uznik Azkabana (Harry Potter And The Prisoner Of Azkaban, Russian Edition)",J. K. Rowling,2002,Rosmen
103325,0373289723,"Merry Widows -- Mary (The Merry Widows) (Harlequin Historical Romances , Vol 372)",Fern Michaels,1997,Harlequin
103421,3426609703,An Den Feuern Von Hastur. Ein Darkover- Roman.,Marion Zimmer Bradley,2001,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co."
103436,0425173038,"Shadow Of Honor (Tom Clancy'S Net Force; Young Adults, No. 8)",Tom Clancy,2000,Berkley Publishing Group
103455,0679783415,David Copperfield (Modern Library Classics),Charles Dickens,2000,Modern Library
103541,0006928110,The Double Jinx Mystery (The Nancy Drew Mysteries),Carolyn Keene,1987,HarperCollins Publishers
103542,0006925200,The Clue In The Old Stagecoach (The Nancy Drew Mysteries),Carolyn Keene,1988,HarperCollins Publishers
103543,0006928137,Secret Of Forgotten City (Nancy Drew Mysteries),Carolyn Keene,1987,HarperCollins Publishers
103544,0006928145,The Strange Message In The Parchment (The Nancy Drew Mysteries),Carolyn Keene,1988,HarperCollins Publishers
103553,055348348X,"The Year Without Christmas (Sweet Valley Twins Super Edition, No 10)",Francine Pascal,1997,Sweet Valley
103577,3895082074,Pride And Prejudice (Konemann Classics),Jane Austen,1996,Konemann
103679,0895772051,Great Expectations (The World'S Best Reading),Charles Dickens,1985,Readers Digest Assn
103784,0727841823,Dark Satanic,Marion Zimmer Bradley,1992,Severn House Publishers
103802,2266047450,La Part Des Tenebres/The Dark Half,Stephen King,1994,Distribooks Inc
103808,2020363763,Le Monde Selon Garp,John Irving,1998,Seuil
103818,381050775X,"Garfield, Bd.15, Garfield Kommt Rum",Jim Davis,1990,"KrÃ?Â¼ger, Frankfurt"
103864,0671706020,The 4:50 From Paddington,Agatha Christie,1983,Pocket Books
103869,0373482922,Soldier Of Fortune (Best Of The Best Series),Diana Palmer,1994,Silhouette
104014,0330027808,The Labours Of Hercules,Agatha Christie,1995,Pan Macmillan
104094,067188462X,Target For Terror (A Nancy Drew And Hardy Boys Super Mystery),Carolyn Keene,1995,Simon Pulse
104165,0448090848,Mystery Of The Wax Queen (The Dana Girls Mystery Stories ; 4),Carolyn Keene,1972,Grosset &amp; Dunlap
104166,0373709366,Born In A Small Town (Harlequin Superromance 936),Debbie Macomber,2000,Harlequin
104168,0671634178,"The Mystery Of Misty Canyon (Nancy Drew 86) : The Mystery Of Misty Canyon (Nancy Drew, No 86)",Carolyn Keene,1988,Aladdin
104204,0373218753,Navy Brat (Silhouette Single Title),Debbie Macomber,2004,Silhouette
104213,0373034113,"Daddy Trap  (Holding Out For A Hero) (Harlequin Romance, No 341)",Fern Michaels,1996,Harlequin
104343,037325329X,"Dreams, Part 1 (Harlequin Temptation, No 329)",Jayne Ann Krentz,1988,Harlequin
104411,0760703329,The Complete Works,William Shakespeare,1994,Barnes &amp; Noble
104443,0671643878,The Double Horror Of Fenley Place (Nancy Drew),Carolyn Keene,1987,Aladdin
104459,0453008739,Nightmares &Amp; Dreamscapes (Vol 2),Stephen King,1994,Highbridge Audio
104531,0425157709,Airborne: A Guided Tour Of An Airborne Task Force,Tom Clancy,1997,Berkley Publishing Group
104566,0451526813,"Much Ado About Nothing: With New And Updated Critical Essays And A Revised Bibliography (Shakespeare, William, Works.)",William Shakespeare,1998,Signet Book
104567,0140707107,The Taming Of The Shrew (New Penguin Shakespeare),William Shakespeare,1981,Penguin Books
104605,3596506867,Mord Auf Dem Golfplatz. Sonderausgabe.,Agatha Christie,2003,"Fischer (Tb.), Frankfurt"
104638,1558749217,Chicken Soup For The Soul At Work,Jack Canfield,2001,Health Communications
104748,0671872125,"Day Of The Dinosaur (Hardy Boys 128) : Day Of The Dinosaur (Hardy Boys, 128)",Franklin W. Dixon,1994,Simon Pulse
104749,0671042629,The Legend Of The Emerald Lady (Nancy Drew On Campus),Carolyn Keene,2000,Aladdin
104787,0395572266,"Isaac Asimov'S Treasury Of Humor: A Lifetime Collection Of Favorite Jokes, Anecdotes, And Limericks With Copious Notes On How To Tell Them And Why",Isaac Asimov,1991,Mariner Books
104845,0671691325,Ghost Stories (Nancy Drew ) (Nancy Drew On Campus),Carolyn Keene,1989,Aladdin
105043,1558748946,"Chicken Soup For The Father'S Soul, 101 Stories To Open The Hearts And Rekindle The Spirits Of Fathers (Chicken Soup For The Soul)",Jack Canfield,2001,Health Communications
105107,0345320077,Garfield Bigger Than Life (Garfield (Numbered Paperback)),Jim Davis,1988,Ballantine Books
105153,8440673914,El Sirviente De Los Huesos,Anne Rice,2001,Downtown Book Center Inc
105190,0345320085,Garfield Gains Weight (Garfield (Numbered Paperback)),Jim Davis,1988,Ballantine Books
105221,0764228552,"Love Finds A Home (Oke, Janette, Love Comes Softly Series, Bk. 8.)",Janette Oke,2004,Bethany House Publishers
105236,076422851X,"Love'S Abiding Joy (Oke, Janette, Love Comes Softly Series, Bk. 4,)",Janette Oke,2003,Bethany House Publishers
105245,0764228498,"Love'S Enduring Promise (Oke, Janette, Love Comes Softly Series, Bk. 2.)",Janette Oke,2003,Bethany House Publishers
105246,0764228501,"Love'S Long Journey (Oke, Janette, Love Comes Softly Series, Bk. 3.)",Janette Oke,2003,Bethany House Publishers
105379,0671428845,"The Tragedy Of Hamlet, Prince Of Denmark (The Folger Library General Reader'S Shakespeare)",William Shakespeare,1958,Pocket Books
105438,0373242026,"Winning Hand (Silhouette Special Edition , No 1202)",Nora Roberts,1998,Silhouette
105440,0553210866,Nicholas Nickleby,Charles Dickens,1983,Bantam Books
105488,0671019627,Silver Linings,Jayne Ann Krentz,1997,Pocket
105517,0899667384,Twice Told Tales,Nathaniel Hawthorne,1990,Buccaneer Books Inc
105527,0671445774,Murder Rog Ackroyd,Agatha Christie,1982,Pocket
105607,0671491172,Timon Of Athens,William Shakespeare,1979,Pocket Books
105608,0671669176,The Winter'S Tale (Folger Library General Reader'S Shakespeare),William Shakespeare,1983,Pocket Books
105609,0671467174,Comedy Of Errors,William Shakespeare,1988,Washington Square Press
105610,0671669141,Pericles,William Shakespeare,1988,Washington Square Press
105611,0833511491,Measure For Measure (New Folger Library Shakespeare (Paperback)),William Shakespeare,1999,Sagebrush Bound
105612,0671491121,Cymbeline,William Shakespeare,1988,Pocket Books (Mm)
105613,0671039164,Antony And Cleopatra (Folger Shakespeare Library),William Shakespeare,1999,Washington Square Press
105614,0671669230,All'S Well That Ends Well (Folger Library General Reader'S Shakespeare),William Shakespeare,1983,Pocket Books
105617,0866119744,David Copperfield (Great Illustrated Classics),Charles Dickens,1992,Playmore Inc. Publishers
105618,0553210815,Life On The Mississippi,Mark Twain,1982,Bantam Books
105619,0451519604,Signet Classic Book Of Mark Twain Stories,Mark Twain,1985,Signet Book
105651,0517445298,Hidden Charles Dickens,Charles Dickens,1984,Random House Value Publishing
105658,0486411109,The Prince And The Pauper (Dover Thrift Editions),Mark Twain,2000,Dover Publications
105708,0590251708,"Little Miss Stoneybrook... And Dawn (Baby-Sitters Club, 15)",Ann M. Martin,1996,Scholastic
105734,0590442597,Karen'S Roller Skates (Baby-Sitters Little Sister #2),Ann M. Martin,1992,Scholastic
105777,0573616396,Ten Little Indians (A Mystery Play In Three Acts),Agatha Christie,1984,Samuel French
105959,0192839020,A Connecticut Yankee In King Arthur'S Court (Oxford World'S Classics),Mark Twain,1998,Oxford University Press
105968,075923826X,Six White Horses (Janet Dailey Americana),Janet Dailey,1999,eReads.com
106013,0759238251,Show Me (Janet Dailey Americana),Janet Dailey,1999,eReads.com
106027,0759238170,Lord Of The High Lonesome (Americana),Janet Dailey,1999,eReads.com
106110,0671669133,Merry Wive Wndsr,William Shakespeare,1988,Pocket Books
106140,0812564898,Spider Legs (Tor Fantasy),Piers Anthony,1999,Tor Books
106174,0553481967,"The Incredible Madame Jessica (Sweet Valley Twins, 93)",Francine Pascal,1996,Sweet Valley
106251,0451519671,Picture Of Dorian Gray,Oscar Wilde,1962,Signet Book
106268,0553561219,The Positronic Man,Isaac Asimov,1995,Bantam
106354,0825301289,Isaac Asimov Presents The Best Horror And Supernatural Of The 19Th Century,Isaac Asimov,1983,Beaufort Books Inc
106551,0140281622,The Grapes Of Wrath (Penguin Great Books Of The 20Th Century),John Steinbeck,1999,Penguin Books
106704,0140366733,The Adventures Of Tom Sawyer (Puffin Classics),Mark Twain,1995,Puffin Books
106715,0439101352,Pride And Prejudice (Scholastic Classics),Jane Austen,2000,Scholastic
106775,2253076880,Souviens-Toi,Mary Higgins Clark,1997,LGF
106782,2290308382,Brume - La Faucheuse,Stephen King,2000,J'ai lu
106783,2290308390,Brume - Paranoia,Stephen King,2000,J'ai lu
106794,2253076597,Un Jour Tu Verras--,Mary Higgins Clark,1996,LGF
106820,270241351X,Rendez Vous Avec La Mort,Agatha Christie,1982,Librairie des Champs-ElysÃ?Â©es
106823,2253170666,"Sur Ordre, Tome 1",Tom Clancy,1999,LGF
106827,2266101544,Lestat Le Vampire / Lestat The Vampire,Anne Rice,1999,Pocket
106829,2290316547,Tour Sombre 4 : Magie Et Cristal,Stephen King,2001,J'ai lu
106830,2277250333,"La Tour Sombre. 2, Les Trois Cartes",Stephen King,1998,J'ai lu
106831,229012950X,"La Tour Sombre, Tome 1 : Le Pistolero",Stephen King,2000,J'ai lu
106849,2253151386,Chantier,Stephen King,2002,Le Livre de poche
106903,0553275690,"Heartbreaker (Sweet Valley High, 8)",Francine Pascal,1984,Sweet Valley
106926,0590483048,"Karen'S Ski Trip (Baby-Sitters Little Sister, 58)",Ann M. Martin,1995,Scholastic Paperbacks
106936,2277230944,Robots Et Extra-Terrestres D'Isaac Asimov. [1-2],Isaac Asimov,1991,J'ai lu
106967,0140707042,Julius Caesar (New Penguin Shakespeare S.),William Shakespeare,1981,Penguin Books
106970,0416101909,The Tempest (The Arden Shakespeare),William Shakespeare,1962,Routledge
107007,057506885X,The Last Hero (Gollancz Sf S.),Terry Pratchett,2001,Gollancz
107040,046087294X,Mansfield Park (Everyman Paperback Classics),Jane Austen,1993,Tuttle Publishing
107090,0521296927,King Henry Viii (The New Cambridge Shakespeare),William Shakespeare,1990,Cambridge University Press
107118,0553292366,Don'T Go Home With John (Sweet Valley High No. 90),Francine Pascal,1993,Sweet Valley
107120,0553292374,"In Love With A Prince (Sweet Valley High, No 91)",Francine Pascal,1993,Sweet Valley
107165,8401499909,Maleficio,Stephen King,1996,"Plaza &amp; Janes Editores, S.A."
107546,0575042176,Sourcery,Terry Pratchett,1988,Orion Publishing Co
107856,0586052283,The Science Fictional Solar System (Panther Book),Isaac Asimov,1982,Academy Chicago Publishers
108074,0451526775,The Tragedy Of Macbeth: With New And Updated Critical Essays And A Revised Bibliography (The Signet Classic Shakespeare),William Shakespeare,1998,Signet Book
108127,0486428877,Henry V (Dover Thrift Editions),William Shakespeare,2003,Dover Publications
108128,185326203X,The Tempest (Classics Library (Ntc)),William Shakespeare,1998,NTC/Contemporary Publishing Company
108181,0590433474,Mary Anne And The Search For Tigger (Baby-Sitters Club (Paperback)),Ann M. Martin,1993,Scholastic Paperbacks
108182,0590420062,"Jessi Ramsey, Pet Sitter (Baby-Sitters Club (Paperback))",Ann M. Martin,1989,Scholastic Paperbacks
108185,0590415832,Claudia And The Bad Joke (Baby-Sitters Club (Paperback)),Ann M. Martin,1988,Scholastic Paperbacks
108186,0590415859,"Mary Anne'S Bad-Luck Mystery (Baby-Sitters Club, 17)",Ann M. Martin,1988,Scholastic Paperbacks (T)
108266,0394332695,"The Scarlet Letter, And Selected Writings (Modern Library College Editions)",Nathaniel Hawthorne,1984,Modern Library
108281,0451129768,The Science Fictional Olympics (Isaac Asimov'S Wonderful Worlds Of Science Fiction),Isaac Asimov,1984,New American Library
108328,0590456571,"Keep Out, Claudia! (Baby-Sitters Club, 56)",Ann M. Martin,1993,Scholastic
108372,0385120745,Asimov On Numbers,Isaac Asimov,1977,Doubleday
108505,0373614470,"Jungle Law  (Superbolan #47) (Superbolan, No 47)",Don Pendleton,1996,Gold Eagle
108561,0373619413,Stony Man: Sky Killers,Don Pendleton,2002,Gold Eagle
108584,0689864558,"Warehouse Rumble (Hardy Boys, The)",Franklin W. Dixon,2004,Aladdin
108590,0385262647,Puzzles Of The Black Widowers,Isaac Asimov,1990,Bantam Dell Pub Group
108604,0440166950,Opus 100,Isaac Asimov,1980,Bantam Books (Mm)
108608,0671730584,"Demolition Mission (Hardy Boys 112) : Demolition Mission (Hardy Boys, 112)",Franklin W. Dixon,1992,Aladdin
108609,0671505181,"The Hypersonic Secret (Hardy Boys 135) : The Hypersonic Secret (Hardy Boys, 135)",Franklin W. Dixon,1995,Aladdin
108613,0671505246,The Alaskan Adventure Hardy Boys 138 (Hardy Boys),Franklin W. Dixon,1996,Aladdin
108614,0671642901,Trapped Sea (Hardy Boys 75) : Trapped Sea (The Hardy Boys Series No. 75),Franklin W. Dixon,1987,Aladdin
108615,0671872168,"Maximum Challenge (Hardy Boys 132) : Maximum Challenge (Hardy Boys, 132)",Franklin W. Dixon,1995,Aladdin
108672,0142002755,Nicholas Nickelby,Charles Dickens,2002,Penguin Books
108723,0004723724,Collins Complete Works Of Oscar Wilde: Centenary Edition,Oscar Wilde,1999,HarperCollins Publishers
108768,0449240843,Nine Tomorrows (Fawcett Crest Book),Isaac Asimov,1981,Fawcett Books
109122,0192545175,Christmas Stories (New Oxford Illustrated Dickens),Charles Dickens,1987,Oxford University Press
109123,0781275105,The Cricket On The Hearth (Bcl1-Pr English Literature),Charles Dickens,1992,Reprint Services Corp
109201,1558744673,A 4Th Course Of Chicken Soup For The Soul (Chicken Soup For The Soul),Jack Canfield,1997,Health Communications
109213,0802706800,Tantalizing Locked Room Mysteries,Isaac Asimov,1982,Walker &amp; Company
109260,0140436065,The Importance Of Being Earnest And Other Plays (Penguin Classics),Oscar Wilde,2001,Penguin Books
109303,0590471511,Chain Letter (The Baby-Sitters Club),Ann M. Martin,1993,Scholastic
109334,0448095386,"The Mystery Of The Fire Dragon (Nancy Drew Mystery Stories, No 38)",Carolyn Keene,1961,Grosset &amp; Dunlap
109381,0373072120,"Playboy Prince (Silhouette Intimate Moments, 212)",Nora Roberts,1987,Silhouette
